Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.223380,0.222222,0.223380,0.068648,0
1962-01-03,0.000000,0.221065,0.219907,0.219907,0.067581,345600
1962-01-04,0.000000,0.221065,0.217593,0.217593,0.066870,216000
1962-01-05,0.000000,0.215856,0.214120,0.214120,0.065802,129600
1962-01-08,0.000000,0.212384,0.210648,0.210648,0.064735,172800
1962-01-09,0.000000,0.212963,0.212963,0.212963,0.065447,43200
1962-01-10,0.000000,0.217593,0.214699,0.217593,0.066870,172800
1962-01-11,0.000000,0.217593,0.216435,0.216435,0.066514,172800
1962-01-12,0.000000,0.217593,0.214120,0.214120,0.065802,259200
1962-01-15,0.000000,0.215856,0.214120,0.214120,0.065802,129600
1962-01-16,0.000000,0.215856,0.212963,0.212963,0.065447,345600
1962-01-17,0.000000,0.215278,0.212963,0.214120,0.065802,259200
1962-01-18,0.000000,0.212963,0.212384,0.212384,0.065269,172800
1962-01-19,0.000000,0.214699,0.213542,0.214699,0.065980,129600
1962-01-22,0.000000,0.212963,0.212384,0.212384,0.065269,172800
1962-01-23,0.000000,0.212963,0.210648,0.210648,0.064735,259200
1962-01-24,0.000000,0.210648,0.209491,0.210069,0.064558,302400
1962-01-25,0.000000,0.210648,0.208912,0.209491,0.064380,129600
1962-01-26,0.000000,0.210648,0.208912,0.208912,0.064202,561600
1962-01-29,0.000000,0.211806,0.209491,0.211806,0.065091,216000
1962-01-30,0.000000,0.214699,0.210648,0.210648,0.064735,734400
1962-01-31,0.000000,0.215278,0.212384,0.215278,0.066158,345600
1962-02-01,0.000000,0.217014,0.214699,0.217014,0.066692,388800
1962-02-02,0.000000,0.228009,0.217593,0.227431,0.069893,2160000
1962-02-05,0.000000,0.240741,0.233796,0.237269,0.072917,1944000
1962-02-06,0.000000,0.248264,0.239583,0.247685,0.076118,2289600
1962-02-07,0.000000,0.259259,0.250000,0.250000,0.076829,3369600
1962-02-08,0.000000,0.253472,0.245949,0.247106,0.075940,1382400
1962-02-09,0.000000,0.247106,0.241898,0.246528,0.075762,777600
1962-02-12,0.000000,0.244213,0.243056,0.244213,0.075051,216000
1962-02-13,0.000000,0.244213,0.241319,0.241898,0.074516,734400
1962-02-14,0.000000,0.240741,0.233796,0.234954,0.072377,1080000
1962-02-15,0.000000,0.234954,0.232639,0.234954,0.072377,302400
1962-02-16,0.000000,0.234954,0.233218,0.233796,0.072020,172800
1962-02-19,0.000000,0.232060,0.232060,0.232060,0.071485,43200
1962-02-20,0.000000,0.229745,0.228009,0.228009,0.070237,86400
1962-02-21,0.000000,0.229167,0.222222,0.222222,0.068455,604800
1962-02-23,0.000000,0.221065,0.219907,0.219907,0.067742,432000
1962-02-26,0.000000,0.224537,0.221065,0.224537,0.069168,259200
1962-02-27,0.000000,0.227431,0.223380,0.227431,0.070059,302400
