Date,AAPL,AMZN,BRK-B,FB,GOOG,JNJ,JPM,MSFT,NVDA,V
1980-12-12,NA,NA,NA,NA,NA,0.04830447682104899,-0.006451629100362677,NA,NA,NA
1980-12-15,-0.05358081510115653,NA,NA,NA,NA,0.012405660965545295,0.006451629100362677,NA,NA,NA
1980-12-16,-0.07623102784612845,NA,NA,NA,NA,0.0389573208751377,0.009600150592230738,NA,NA,NA
1980-12-17,0.024449595884103115,NA,NA,NA,NA,0.0065655912672146766,0.031350498036942565,NA,NA,NA
1980-12-18,0.028580078574880208,NA,NA,NA,NA,-0.003934179665688653,0.027399028242167223,NA,NA,NA
1980-12-19,0.05923896203216161,NA,NA,NA,NA,0.006548894880854084,0.00299841900208353,NA,NA,NA
1980-12-22,0.04752219768000199,NA,NA,NA,NA,0.0155443518603946,0.014859179742099604,NA,NA,NA
1980-12-23,0.04133300159325093,NA,NA,NA,NA,-0.005154815113072475,-0.017857598744183134,NA,NA,NA
1980-12-24,0.05129002960912277,NA,NA,NA,NA,0.011561067611774,0.005988035551762749,NA,NA,NA
1980-12-26,0.08829367496952956,NA,NA,NA,NA,0.02147862646641341,-0.0029896165496792193,NA,NA,NA
1980-12-29,0.013985365604238797,NA,NA,NA,NA,-0.007528267629859697,0,NA,NA,NA
1980-12-30,-0.024604260780875187,NA,NA,NA,NA,0.006277565628091453,0,NA,NA,NA
1980-12-31,-0.028881005366458545,NA,NA,NA,NA,-0.0012522682163375043,0.020741543572449617,NA,NA,NA
1981-01-02,0.010928357043697323,NA,NA,NA,NA,0.0012522682163375043,0.005847963880525109,NA,NA,NA
1981-01-05,-0.021977463887015825,NA,NA,NA,NA,0.011201351270778148,0.05667233071744415,NA,NA,NA
1981-01-06,-0.04546623281751905,NA,NA,NA,NA,0.007398306313760705,-0.013869758940378452,NA,NA,NA
1981-01-07,-0.04356846437471984,NA,NA,NA,NA,-0.023618167086948416,-0.0283306314576659,NA,NA,NA
1981-01-08,-0.020449261392408102,NA,NA,NA,NA,-0.020331228136380664,0.011428838652776108,NA,NA,NA
1981-01-09,0.052322421435677446,NA,NA,NA,NA,-0.0038587727926043813,0.03352265663654763,NA,NA,NA
1981-01-12,-0.007873556453904751,NA,NA,NA,NA,0.01025682838094899,0.027101902011440693,NA,NA,NA
1981-01-13,-0.03621891211140538,NA,NA,NA,NA,-0.014130052233974122,0.005333340599324332,NA,NA,NA
1981-01-14,0.004089715462827659,NA,NA,NA,NA,-0.0064893982340543666,0.00794712497496386,NA,NA,NA
1981-01-15,0.020201390747631498,NA,NA,NA,NA,0.0064893982340543666,0.01830107505543488,NA,NA,NA
1981-01-16,-0.008031651439601495,NA,NA,NA,NA,0.0025838153909718553,0.0025873908019664604,NA,NA,NA
1981-01-19,0.05872157694558444,NA,NA,NA,NA,-0.011680609930293406,-0.01825349208413507,NA,NA,NA
1981-01-20,-0.030888563151131976,NA,NA,NA,NA,-0.009180306482380107,-0.005277051837685898,NA,NA,NA
1981-01-21,0.019416869565853423,NA,NA,NA,NA,-0.01861789788650925,-0.013315834957007056,NA,NA,NA
1981-01-22,0.011471693585278553,NA,NA,NA,NA,0.005354936490963191,0,NA,NA,NA
1981-01-23,-0.0038092943580765315,NA,NA,NA,NA,0.014579532736936351,0.0026774474471384924,NA,NA,NA
1981-01-26,-0.015383964461604949,NA,NA,NA,NA,0.01566611412645602,-0.016172842766875473,NA,NA,NA
1981-01-27,-0.007781652069354106,NA,NA,NA,NA,0.005167639406880475,0.01349539531973698,NA,NA,NA
1981-01-28,-0.031746666056548856,NA,NA,NA,NA,0,-0.008075333402689067,NA,NA,NA
1981-01-29,-0.03696274532551436,NA,NA,NA,NA,-0.005167639406880475,-0.005420061917047914,NA,NA,NA
1981-01-30,-0.05593260019655544,NA,NA,NA,NA,-0.007802378985466207,-0.0027211608850046254,NA,NA,NA
1981-02-02,-0.05923896203216161,NA,NA,NA,NA,-0.015789799073190114,-0.008207898359560595,NA,NA,NA
1981-02-03,0.03686809942737357,NA,NA,NA,NA,0.015789799073190114,0.043017341358995154,NA,NA,NA
1981-02-04,0.035557035877694876,NA,NA,NA,NA,-0.0013062520355083818,-0.00792612897478251,NA,NA,NA
1981-02-05,0,NA,NA,NA,NA,-0.0026181374018663384,0.018397418480235794,NA,NA,NA
1981-02-06,0.0043570331832332165,NA,NA,NA,NA,0.007832938875642736,-0.026386728853007746,NA,NA,NA
1981-02-09,-0.05358081510115653,NA,NA,NA,NA,0,0.010638387509868563,NA,NA,NA
1981-02-10,0,NA,NA,NA,NA,0.021865906148533565,0.026111118230489616,NA,NA,NA
1981-02-11,-0.03263474765917307,NA,NA,NA,NA,-0.007662872745569094,0,NA,NA,NA
1981-02-12,-0.009531805500611057,NA,NA,NA,NA,-0.011605297093101541,0.01788047636750001,NA,NA,NA
1981-02-13,-0.024212787058498275,NA,NA,NA,NA,-0.02495246885347646,-0.010178194426585518,NA,NA,NA
1981-02-17,0.024212787058498275,NA,NA,NA,NA,0.0013293290428812998,0,NA,NA,NA
1981-02-18,0.042166553159784126,NA,NA,NA,NA,0.030086872454810898,-0.002560887436530823,NA,NA,NA
1981-02-19,-0.06148965487706404,NA,NA,NA,NA,0,-0.005141394504383667,NA,NA,NA
1981-02-20,-0.055148350521438516,NA,NA,NA,NA,0.005141564448885805,0.010256490226098869,NA,NA,NA
1981-02-23,0.015344585007914358,NA,NA,NA,NA,0.006389879627430206,0.010152361723757997,NA,NA,NA
1981-02-24,-0.03617731065376395,NA,NA,NA,NA,0.013915547337322476,0,NA,NA,NA
